runtime,solution cost,solver name,instance name
0.004,204,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-1.scen
0.001,260,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-2.scen
0.001,204,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-3.scen
0.001,244,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-4.scen
0,226,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-5.scen
0,261,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-6.scen
0.001,202,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-7.scen
0.001,194,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-8.scen
0.001,198,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-9.scen
0.003,218,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-10.scen
0.001,219,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-11.scen
0.002,240,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-12.scen
0.001,254,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-13.scen
0.002,207,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-14.scen
0.001,234,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-15.scen
0.001,250,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-16.scen
0.001,261,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-17.scen
0.002,225,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-18.scen
0.001,252,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-19.scen
0.001,250,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-20.scen
0.002,241,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-21.scen
0,222,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-22.scen
0.001,211,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-23.scen
0.001,211,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-24.scen
0.002,231,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-25.scen
0.002,228,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-26.scen
0,218,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-27.scen
0.003,240,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-28.scen
0.001,216,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-29.scen
0.002,236,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-30.scen
0.001,200,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-31.scen
0.001,227,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-32.scen
0.001,218,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-33.scen
0,231,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-34.scen
0,226,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-35.scen
0.001,239,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-36.scen
0.001,225,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-37.scen
0.001,245,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-38.scen
0.002,231,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-39.scen
0.001,258,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-40.scen
0.003,215,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-41.scen
0.004,235,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-42.scen
0.004,251,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-43.scen
0.001,221,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-44.scen
0.001,241,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-45.scen
0.001,221,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-46.scen
0.001,207,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-47.scen
0,214,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-48.scen
0,212,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-49.scen
0,219,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-50.scen
0.001,183,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-51.scen
0.001,231,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-52.scen
0.001,233,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-53.scen
0.001,251,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-54.scen
0.001,223,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-55.scen
0.001,208,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-56.scen
0,229,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-57.scen
0.001,231,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-58.scen
0,220,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-59.scen
0.002,223,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-60.scen
0.001,215,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-61.scen
0.003,212,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-62.scen
0.001,210,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-63.scen
0.001,243,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-64.scen
0.002,241,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-65.scen
0.002,219,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-66.scen
0.001,255,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-67.scen
0.001,216,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-68.scen
0.001,245,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-69.scen
0.001,259,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-70.scen
0,223,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-71.scen
0.001,227,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-72.scen
0.001,217,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-73.scen
0.001,233,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-74.scen
0.002,241,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-75.scen
0.001,222,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-76.scen
0.001,220,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-77.scen
0.001,218,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-78.scen
0.002,254,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-79.scen
0.001,258,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-80.scen
0.001,237,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-81.scen
0.001,243,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-82.scen
0.001,278,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-83.scen
0,209,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-84.scen
0.002,242,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-85.scen
0.001,219,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-86.scen
0.001,252,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-87.scen
0.001,236,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-88.scen
