runtime,solution cost,instance name
0.001,206,instances/empty-16-16/empty-16-16-random-20-agents-1.scen
0.003,260,instances/empty-16-16/empty-16-16-random-20-agents-2.scen
0.003,204,instances/empty-16-16/empty-16-16-random-20-agents-3.scen
0.004,244,instances/empty-16-16/empty-16-16-random-20-agents-4.scen
0.001,226,instances/empty-16-16/empty-16-16-random-20-agents-5.scen
0.002,261,instances/empty-16-16/empty-16-16-random-20-agents-6.scen
0.002,203,instances/empty-16-16/empty-16-16-random-20-agents-7.scen
0.002,194,instances/empty-16-16/empty-16-16-random-20-agents-8.scen
0.002,198,instances/empty-16-16/empty-16-16-random-20-agents-9.scen
0.003,217,instances/empty-16-16/empty-16-16-random-20-agents-10.scen
0.002,219,instances/empty-16-16/empty-16-16-random-20-agents-11.scen
0.003,240,instances/empty-16-16/empty-16-16-random-20-agents-12.scen
0.002,254,instances/empty-16-16/empty-16-16-random-20-agents-13.scen
0.006,207,instances/empty-16-16/empty-16-16-random-20-agents-14.scen
0.003,234,instances/empty-16-16/empty-16-16-random-20-agents-15.scen
0.001,250,instances/empty-16-16/empty-16-16-random-20-agents-16.scen
0.004,262,instances/empty-16-16/empty-16-16-random-20-agents-17.scen
0.007,228,instances/empty-16-16/empty-16-16-random-20-agents-18.scen
0.002,251,instances/empty-16-16/empty-16-16-random-20-agents-19.scen
0.008,249,instances/empty-16-16/empty-16-16-random-20-agents-20.scen
0.001,242,instances/empty-16-16/empty-16-16-random-20-agents-21.scen
0.001,222,instances/empty-16-16/empty-16-16-random-20-agents-22.scen
0.003,211,instances/empty-16-16/empty-16-16-random-20-agents-23.scen
0.003,210,instances/empty-16-16/empty-16-16-random-20-agents-24.scen
0.005,234,instances/empty-16-16/empty-16-16-random-20-agents-25.scen
0.003,229,instances/empty-16-16/empty-16-16-random-20-agents-26.scen
0.002,217,instances/empty-16-16/empty-16-16-random-20-agents-27.scen
0.002,239,instances/empty-16-16/empty-16-16-random-20-agents-28.scen
0.001,216,instances/empty-16-16/empty-16-16-random-20-agents-29.scen
0.003,238,instances/empty-16-16/empty-16-16-random-20-agents-30.scen
0.001,200,instances/empty-16-16/empty-16-16-random-20-agents-31.scen
0.001,227,instances/empty-16-16/empty-16-16-random-20-agents-32.scen
0.003,217,instances/empty-16-16/empty-16-16-random-20-agents-33.scen
0.001,231,instances/empty-16-16/empty-16-16-random-20-agents-34.scen
0.001,226,instances/empty-16-16/empty-16-16-random-20-agents-35.scen
0.102,241,instances/empty-16-16/empty-16-16-random-20-agents-36.scen
0.001,226,instances/empty-16-16/empty-16-16-random-20-agents-37.scen
0.006,245,instances/empty-16-16/empty-16-16-random-20-agents-38.scen
0.005,230,instances/empty-16-16/empty-16-16-random-20-agents-39.scen
0.001,257,instances/empty-16-16/empty-16-16-random-20-agents-40.scen
0.003,214,instances/empty-16-16/empty-16-16-random-20-agents-41.scen
0.003,235,instances/empty-16-16/empty-16-16-random-20-agents-42.scen
0.001,249,instances/empty-16-16/empty-16-16-random-20-agents-43.scen
0.001,221,instances/empty-16-16/empty-16-16-random-20-agents-44.scen
0.003,242,instances/empty-16-16/empty-16-16-random-20-agents-45.scen
0.002,221,instances/empty-16-16/empty-16-16-random-20-agents-46.scen
0.003,206,instances/empty-16-16/empty-16-16-random-20-agents-47.scen
0.001,213,instances/empty-16-16/empty-16-16-random-20-agents-48.scen
0.002,212,instances/empty-16-16/empty-16-16-random-20-agents-49.scen
0.002,219,instances/empty-16-16/empty-16-16-random-20-agents-50.scen
0.001,183,instances/empty-16-16/empty-16-16-random-20-agents-51.scen
0.002,230,instances/empty-16-16/empty-16-16-random-20-agents-52.scen
0.005,234,instances/empty-16-16/empty-16-16-random-20-agents-53.scen
0.002,252,instances/empty-16-16/empty-16-16-random-20-agents-54.scen
0.003,223,instances/empty-16-16/empty-16-16-random-20-agents-55.scen
0.006,206,instances/empty-16-16/empty-16-16-random-20-agents-56.scen
0.003,230,instances/empty-16-16/empty-16-16-random-20-agents-57.scen
0.002,230,instances/empty-16-16/empty-16-16-random-20-agents-58.scen
0.002,220,instances/empty-16-16/empty-16-16-random-20-agents-59.scen
0.003,224,instances/empty-16-16/empty-16-16-random-20-agents-60.scen
0.005,216,instances/empty-16-16/empty-16-16-random-20-agents-61.scen
0.003,212,instances/empty-16-16/empty-16-16-random-20-agents-62.scen
0.002,209,instances/empty-16-16/empty-16-16-random-20-agents-63.scen
0.003,244,instances/empty-16-16/empty-16-16-random-20-agents-64.scen
0.003,242,instances/empty-16-16/empty-16-16-random-20-agents-65.scen
0.002,217,instances/empty-16-16/empty-16-16-random-20-agents-66.scen
0.002,256,instances/empty-16-16/empty-16-16-random-20-agents-67.scen
0,216,instances/empty-16-16/empty-16-16-random-20-agents-68.scen
0.001,244,instances/empty-16-16/empty-16-16-random-20-agents-69.scen
0.008,261,instances/empty-16-16/empty-16-16-random-20-agents-70.scen
0.002,224,instances/empty-16-16/empty-16-16-random-20-agents-71.scen
0.002,228,instances/empty-16-16/empty-16-16-random-20-agents-72.scen
0.004,222,instances/empty-16-16/empty-16-16-random-20-agents-73.scen
0.003,234,instances/empty-16-16/empty-16-16-random-20-agents-74.scen
0.001,239,instances/empty-16-16/empty-16-16-random-20-agents-75.scen
0.002,222,instances/empty-16-16/empty-16-16-random-20-agents-76.scen
0.002,221,instances/empty-16-16/empty-16-16-random-20-agents-77.scen
0.001,218,instances/empty-16-16/empty-16-16-random-20-agents-78.scen
0.002,253,instances/empty-16-16/empty-16-16-random-20-agents-79.scen
0.002,258,instances/empty-16-16/empty-16-16-random-20-agents-80.scen
0.005,236,instances/empty-16-16/empty-16-16-random-20-agents-81.scen
0.002,243,instances/empty-16-16/empty-16-16-random-20-agents-82.scen
0.003,280,instances/empty-16-16/empty-16-16-random-20-agents-83.scen
0.001,209,instances/empty-16-16/empty-16-16-random-20-agents-84.scen
0.006,244,instances/empty-16-16/empty-16-16-random-20-agents-85.scen
0.004,220,instances/empty-16-16/empty-16-16-random-20-agents-86.scen
0.003,252,instances/empty-16-16/empty-16-16-random-20-agents-87.scen
0.002,235,instances/empty-16-16/empty-16-16-random-20-agents-88.scen
0.002,228,instances/empty-16-16/empty-16-16-random-20-agents-89.scen
0.004,258,instances/empty-16-16/empty-16-16-random-20-agents-90.scen
0.002,224,instances/empty-16-16/empty-16-16-random-20-agents-91.scen
0.002,243,instances/empty-16-16/empty-16-16-random-20-agents-92.scen
0.002,226,instances/empty-16-16/empty-16-16-random-20-agents-93.scen
0.003,272,instances/empty-16-16/empty-16-16-random-20-agents-94.scen
0.002,246,instances/empty-16-16/empty-16-16-random-20-agents-95.scen
0.001,207,instances/empty-16-16/empty-16-16-random-20-agents-96.scen
0.004,237,instances/empty-16-16/empty-16-16-random-20-agents-97.scen
0.003,244,instances/empty-16-16/empty-16-16-random-20-agents-98.scen
0.004,228,instances/empty-16-16/empty-16-16-random-20-agents-99.scen
0.002,214,instances/empty-16-16/empty-16-16-random-20-agents-100.scen
0.069,409,instances/empty-16-16/empty-16-16-random-40-agents-1.scen
0.016,487,instances/empty-16-16/empty-16-16-random-40-agents-2.scen
0.065,458,instances/empty-16-16/empty-16-16-random-40-agents-3.scen
0.007,476,instances/empty-16-16/empty-16-16-random-40-agents-4.scen
0.014,514,instances/empty-16-16/empty-16-16-random-40-agents-5.scen
5.644,468,instances/empty-16-16/empty-16-16-random-40-agents-6.scen
0.019,424,instances/empty-16-16/empty-16-16-random-40-agents-7.scen
0.043,427,instances/empty-16-16/empty-16-16-random-40-agents-8.scen
0.011,438,instances/empty-16-16/empty-16-16-random-40-agents-9.scen
2.393,461,instances/empty-16-16/empty-16-16-random-40-agents-10.scen
0.023,451,instances/empty-16-16/empty-16-16-random-40-agents-11.scen
0.05,492,instances/empty-16-16/empty-16-16-random-40-agents-12.scen
0.009,474,instances/empty-16-16/empty-16-16-random-40-agents-13.scen
0.015,440,instances/empty-16-16/empty-16-16-random-40-agents-14.scen
0.908,478,instances/empty-16-16/empty-16-16-random-40-agents-15.scen
0.024,480,instances/empty-16-16/empty-16-16-random-40-agents-16.scen
0.012,497,instances/empty-16-16/empty-16-16-random-40-agents-17.scen
0.025,417,instances/empty-16-16/empty-16-16-random-40-agents-18.scen
0.012,514,instances/empty-16-16/empty-16-16-random-40-agents-19.scen
60.001,-1,instances/empty-16-16/empty-16-16-random-40-agents-20.scen
0.016,465,instances/empty-16-16/empty-16-16-random-40-agents-21.scen
0.013,455,instances/empty-16-16/empty-16-16-random-40-agents-22.scen
0.053,434,instances/empty-16-16/empty-16-16-random-40-agents-23.scen
