runtime,solution cost,solver name,instance name
0,204,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-1.scen
0.001,260,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-2.scen
0.002,204,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-3.scen
0.003,245,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-4.scen
0.002,226,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-5.scen
0.001,261,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-6.scen
0.002,202,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-7.scen
0.002,195,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-8.scen
0.002,198,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-9.scen
0.004,219,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-10.scen
0.002,219,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-11.scen
0.002,240,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-12.scen
0.002,254,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-13.scen
0.007,207,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-14.scen
0.001,233,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-15.scen
0.001,250,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-16.scen
0.002,263,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-17.scen
0.003,229,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-18.scen
0.004,252,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-19.scen
0.002,251,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-20.scen
0.003,241,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-21.scen
0.002,222,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-22.scen
0.002,211,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-23.scen
0.003,216,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-24.scen
0.008,233,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-25.scen
0.003,228,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-26.scen
0.002,218,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-27.scen
0.001,239,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-28.scen
0.001,216,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-29.scen
0.003,236,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-30.scen
0.004,201,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-31.scen
0.001,227,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-32.scen
0.002,218,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-33.scen
0.001,231,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-34.scen
0,226,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-35.scen
0.005,246,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-36.scen
0.001,225,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-37.scen
