runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.396,203,397,69658,153753,1761,1761,1747,1755,193,2,20,0,180,0,0,432,62,0.188,0.008,0.008,0.009,0,0,0.059,0.002,0.01,0.109,0.12,0.058,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen:
60.001,17093,33981,4289191,9635887,-1,1609,1603,1609,5168,14183,355,0,2555,0,0,29114,19372,45.157,1.055,0.37,0.6,0.012,0,3.697,0.138,0.405,7.563,8.083,0.046,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen:
0.198,37,71,32717,60577,1689,1689,1679,1683,65,4,4,0,28,0,0,97,0,0.095,0.002,0.005,0,0,0,0.023,0,0.003,0.063,0.069,0.081,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen:
0.059,32,63,8303,24626,1679,1679,1669,1677,36,0,7,0,24,0,0,55,27,0.029,0.003,0.002,0.001,0,0,0.007,0,0.001,0.011,0.013,0.048,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen:
60.001,10490,20948,4289237,9157453,-1,1734,1726,1734,3752,6358,2961,0,1171,0,0,22871,5202,47.461,0.577,0.234,0.774,0.01,0,2.857,0.062,0.272,7.259,7.583,0.068,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen:
0.077,18,35,7532,20974,1745,1745,1733,1745,19,9,5,0,3,0,0,65,0,0.047,0.001,0.001,0.001,0,0,0.009,0,0.001,0.011,0.012,0.061,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen:
0.311,193,384,49463,117129,1536,1536,1522,1528,178,9,15,0,168,0,0,193,124,0.154,0.007,0.003,0,0,0,0.042,0,0.002,0.093,0.098,0.056,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen:
0.14,30,59,19475,44820,1673,1673,1663,1669,52,3,4,0,22,0,0,67,8,0.072,0.001,0.002,0.001,0,0,0.029,0,0,0.026,0.027,0.052,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen:
6.261,6002,12003,907339,2420170,1746,1746,1730,1744,1440,4291,772,0,938,0,0,4363,10374,3.155,0.286,0.11,0.247,0.005,0,0.319,0.015,0.168,1.794,1.972,0.036,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen:
0.069,37,73,14873,36543,1664,1664,1654,1661,18,0,15,0,21,0,0,30,23,0.031,0.001,0.001,0.001,0,0,0.006,0,0,0.023,0.024,0.06,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen:
