runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.693,410,778,95788,314283,1757,1757,1747,1751,415,2,37,0,370,0,0,801,272,0.316,0.015,0.009,0.007,0,0,0.112,0.003,0.017,0.211,0.225,0.045,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen:
0.098,32,61,11041,37511,1609,1609,1603,1607,49,2,8,0,21,0,0,92,4,0.049,0.003,0.001,0.001,0,0,0.017,0,0.002,0.019,0.02,0.054,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen:
0.124,36,69,12335,46500,1686,1686,1679,1681,54,1,6,0,28,0,0,97,3,0.057,0.001,0.004,0.003,0,0,0.019,0,0.001,0.028,0.031,0.05,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen:
0.044,20,39,5817,22720,1676,1676,1669,1674,18,0,7,0,12,0,0,46,16,0.017,0.002,0.001,0,0,0,0.006,0,0,0.011,0.012,0.062,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen:
0.051,10,19,5235,19921,1731,1731,1726,1731,14,1,3,0,5,0,0,43,0,0.025,0.001,0,0,0,0,0.011,0,0,0.007,0.007,0.036,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen:
0.052,11,21,4650,19555,1740,1740,1733,1740,20,0,5,0,5,0,0,52,0,0.028,0,0,0,0,0,0.013,0,0,0.004,0.004,0.056,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen:
0.32,203,400,38379,146418,1532,1532,1522,1526,273,15,18,0,169,0,0,295,116,0.151,0.01,0.009,0.005,0,0,0.043,0,0.007,0.09,0.101,0.036,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen:
0.13,32,63,22764,66051,1670,1670,1663,1666,60,1,4,0,26,0,0,63,5,0.052,0.001,0.002,0,0,0,0.018,0,0,0.045,0.047,0.043,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen:
60.001,55543,111087,8691049,29104341,-1,1739,1730,1738,12392,37203,9875,0,8465,0,0,35224,81168,27.576,2.6,1.085,2.196,0.039,0,3.179,0.301,1.246,19.208,20.757,0.051,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen:
60.001,7145,14291,1197579,4020763,-1,1660,1654,1658,561,5844,53,0,1248,0,0,12633,225,54.655,0.334,0.112,0.186,0.004,0,1.589,0.041,0.133,2.609,2.774,0.039,WDG+GR+GC+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen:
