runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.21,784,1567,73178,206110,1757,1757,1747,1755,44,132,647,136,0,0,0,309,305,169,587,0,69,2738,0.413793,0.756066,0.016,0.016,0.014,0.001,0,0,0.011,0.001,0.015,0.139,0.152,0.039,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen
0.017,9,17,3646,11307,1609,1609,1603,1607,3,3,2,6,0,0,0,0,3,5,4,0,10,15,1.75,-0.625,0.005,0,0,0,0,0,0.004,0,0,0.003,0.003,0.063,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen
0.026,13,25,4277,13515,1683,1683,1679,1683,12,3,10,2,0,0,0,2,0,10,3,0,21,16,1,0.416667,0.008,0,0,0,0,0,0.008,0,0.001,0.005,0.005,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen
0.017,6,11,2769,9218,1675,1675,1669,1675,3,4,1,4,0,0,0,0,0,5,1,0,7,0,1.6,0,0.005,0,0,0,0,0,0.005,0,0,0.001,0.001,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen
0.027,7,13,4550,13301,1732,1732,1726,1732,5,4,1,5,0,0,0,0,1,5,1,0,10,2,1.66667,-0.5,0.008,0,0.001,0,0,0,0.008,0,0,0.004,0.005,0.043,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen
0.021,10,19,3713,11734,1743,1743,1733,1743,6,9,0,9,0,0,0,0,0,9,1,0,14,1,2,-0.333333,0.006,0,0.001,0,0,0,0.006,0,0.001,0.002,0.003,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen
0.013,6,11,2799,9133,1526,1526,1522,1526,4,3,2,3,0,0,0,0,0,5,1,0,6,0,1.2,0.4,0.003,0,0,0,0,0,0.002,0,0.001,0.003,0.003,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen
0.022,7,13,3850,11865,1669,1669,1663,1669,9,4,2,4,0,0,0,0,0,6,1,0,13,0,1.33333,0.333333,0.005,0,0,0,0,0,0.007,0,0.001,0.004,0.004,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen
0.023,20,39,4637,14202,1744,1744,1730,1744,3,19,3,16,0,0,0,1,8,10,10,0,18,71,2,-0.631579,0.007,0.001,0,0,0,0,0.005,0,0,0.005,0.005,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen
0.037,11,21,5079,14892,1662,1662,1654,1661,8,10,0,10,0,0,0,3,2,5,9,0,17,93,2,-0.4,0.015,0.001,0,0,0,0,0.01,0,0.001,0.005,0.005,0.055,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen
0.025,7,13,4592,13405,1760,1760,1752,1760,6,5,1,5,0,0,0,0,0,6,1,0,11,0,1.66667,0,0.007,0,0.001,0,0,0,0.007,0,0,0.005,0.005,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-11.scen
0.044,16,31,7893,21673,1749,1749,1741,1749,16,14,3,12,0,0,0,0,1,14,1,0,25,9,1.86667,-0.6,0.015,0,0.001,0,0,0,0.011,0,0.001,0.011,0.011,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-12.scen
0.027,9,17,4732,14223,1825,1825,1815,1825,6,8,0,8,0,0,0,0,0,8,1,0,13,8,2,-0.375,0.009,0,0,0,0,0,0.007,0,0.001,0.005,0.005,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-13.scen
0.053,29,57,14851,36949,1607,1607,1599,1607,8,10,18,10,0,0,0,3,15,10,9,0,20,42,1.85714,-0.142857,0.015,0,0,0,0,0,0.011,0,0.001,0.02,0.02,0.054,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-14.scen
0.037,17,33,7063,19248,1659,1659,1653,1659,11,8,7,9,0,0,0,5,3,8,8,0,16,43,1,0,0.009,0,0,0,0,0,0.008,0,0.001,0.01,0.01,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-15.scen
0.092,74,147,34312,71184,1692,1692,1686,1692,3,22,51,22,0,0,0,30,5,38,36,0,21,74,1.15068,0.657534,0.019,0.001,0,0,0,0,0.011,0,0.003,0.054,0.054,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-16.scen
0.02,11,21,4007,12524,1623,1623,1619,1623,7,5,2,8,0,0,0,0,0,10,1,0,10,0,1,0.4,0.005,0,0,0,0,0,0.007,0,0,0.003,0.003,0.053,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-17.scen
