runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.146,374,747,46027,162789,1752,1752,1747,1751,3,34,258,115,0,0,0,241,119,13,280,0,22,1257,0.801609,0.0482574,0.011,0.009,0.005,0.001,0.001,0,0.009,0,0.005,0.102,0.107,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen
0.019,6,11,2874,12187,1606,1606,1603,1605,6,2,1,4,0,0,0,0,1,4,4,0,12,24,1,-0.6,0.006,0,0,0,0,0,0.004,0,0.001,0.003,0.003,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen
0.034,10,19,4327,17603,1681,1681,1679,1681,14,3,5,4,0,0,0,1,1,7,2,0,22,13,0.555556,-0.333333,0.012,0,0,0,0,0,0.011,0,0,0.004,0.004,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen
0.014,5,9,2577,11248,1672,1672,1669,1672,3,4,0,4,0,0,0,0,0,4,1,0,6,0,1,0,0.003,0,0,0,0,0,0.004,0,0,0.001,0.001,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen
0.022,5,9,3062,12768,1729,1729,1726,1729,3,4,0,4,0,0,0,0,0,4,1,0,9,1,1,-1,0.008,0,0.001,0,0,0,0.005,0,0,0.002,0.002,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen
0.023,8,15,3374,14119,1738,1738,1733,1738,7,6,1,6,0,0,0,0,0,7,1,0,15,1,0.857143,-0.285714,0.006,0,0,0,0,0,0.006,0,0.001,0.004,0.004,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen
0.019,9,17,2882,12202,1524,1524,1522,1524,4,3,5,3,0,0,0,1,0,7,2,0,9,0,0.5,0.25,0.004,0,0,0,0,0,0.004,0,0,0.005,0.005,0.05,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen
0.026,7,13,4037,16162,1666,1666,1663,1666,10,4,2,4,0,0,0,0,0,6,1,0,15,2,0.666667,0,0.006,0,0.001,0,0,0,0.009,0.001,0,0.003,0.003,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen
0.091,89,177,12210,47625,1737,1737,1730,1737,16,25,42,46,0,0,0,14,38,36,33,0,67,164,0.488636,0.443182,0.032,0.005,0.002,0.002,0,0,0.016,0,0.003,0.026,0.028,0.043,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen
0.025,6,11,3444,14007,1658,1658,1654,1658,4,5,0,5,0,0,0,0,0,5,1,0,9,0,1,-0.2,0.01,0,0,0,0,0,0.006,0,0,0.003,0.003,0.069,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen
0.028,7,13,4257,16863,1756,1756,1752,1756,6,4,1,5,0,0,0,0,0,6,1,0,11,0,0.833333,0,0.007,0.001,0.001,0,0,0,0.007,0,0,0.005,0.005,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-11.scen
0.044,17,33,6542,24592,1745,1745,1741,1745,9,14,4,12,0,0,0,1,5,10,2,0,19,17,0.9375,-0.625,0.017,0,0,0,0,0,0.01,0,0,0.009,0.009,0.045,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-12.scen
0.029,9,17,4404,17661,1820,1820,1815,1820,6,8,0,8,0,0,0,0,0,8,1,0,12,0,1,-0.25,0.01,0,0.003,0,0,0,0.005,0,0,0.004,0.006,0.051,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-13.scen
0.047,21,41,9958,35260,1603,1603,1599,1603,9,7,13,7,0,0,0,3,9,8,6,0,18,24,0.85,0.05,0.013,0,0.001,0,0,0,0.009,0,0,0.018,0.018,0.052,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-14.scen
0.034,25,49,8996,32242,1656,1656,1653,1656,6,11,12,12,0,0,0,0,18,6,1,0,9,1,0.916667,-0.25,0.006,0,0.002,0,0,0,0.005,0,0.001,0.015,0.016,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-15.scen
0.473,764,1527,111685,351148,1689,1689,1686,1689,5,110,594,169,0,0,0,0,750,13,1,0,8,0,0.453473,0.591088,0.007,0,0.013,0.003,0,0,0.183,0.001,0.013,0.245,0.26,0.065,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-16.scen
0.019,6,11,3232,13204,1621,1621,1619,1621,6,3,2,3,0,0,0,0,0,5,1,0,9,0,0.6,0.2,0.005,0,0,0,0,0,0.005,0,0.001,0.003,0.003,0.053,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-17.scen
0.022,13,25,3222,13893,1642,1642,1640,1642,7,3,5,7,0,0,0,1,6,5,2,0,13,4,0.75,0.166667,0.005,0,0,0,0,0,0.003,0,0,0.005,0.005,0.051,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-18.scen
0.028,7,13,4630,18356,1745,1745,1743,1745,12,3,3,3,0,0,0,0,1,5,1,0,13,2,0.666667,-0.333333,0.006,0,0,0.001,0,0,0.01,0,0,0.004,0.004,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-19.scen
0.021,14,27,3591,15008,1795,1795,1791,1795,3,11,9,4,0,0,0,0,1,12,1,0,7,0,0.923077,0.307692,0.005,0.001,0,0,0,0,0.003,0,0.001,0.006,0.006,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-20.scen
0.024,5,9,2993,12676,1645,1645,1642,1645,9,4,0,4,0,0,0,0,0,4,1,0,14,0,1,-0.25,0.008,0,0,0,0,0,0.007,0,0,0.003,0.003,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-21.scen
