runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.188,62,121,13955,39025,1761,1761,1747,1755,28,24,2,17,0,42,0,27,5,29,73,0,277,2038,0.786885,-1.44262,0.126,0.003,0,0,0,0,0.027,0,0.002,0.025,0.026,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen
0.189,120,238,37199,89647,1611,1611,1603,1609,71,4,82,7,0,30,0,6,0,113,13,0,162,210,0.890756,0.89916,0.047,0.002,0.005,0,0,0,0.059,0.003,0.003,0.068,0.073,0.055,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen
1.348,203,399,59302,129186,1689,1689,1679,1683,74,26,5,7,0,190,0,128,39,35,152,0,2658,1231,0.287129,-0.410891,1.139,0.008,0.008,0,0,0,0.091,0.001,0.008,0.093,0.101,0.058,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen
0.087,27,53,6026,18104,1679,1679,1669,1677,16,13,0,7,0,19,0,11,3,12,17,0,120,253,1,-0.346154,0.061,0.002,0.001,0,0,0,0.009,0,0,0.007,0.007,0.077,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen
0.203,152,303,43586,99825,1734,1734,1726,1734,10,6,78,48,0,25,0,39,29,83,41,0,98,12,0.754967,0.596026,0.047,0.001,0.004,0,0,0,0.081,0,0.003,0.062,0.066,0.061,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen
0.13,20,39,6564,17606,1745,1745,1733,1745,7,6,1,5,0,13,0,17,0,2,18,0,301,138,0.631579,-0.842105,0.1,0,0.001,0,0,0,0.017,0,0.001,0.006,0.007,0.055,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen
0.972,277,540,66864,138014,1536,1536,1522,1528,34,47,1,34,0,241,0,211,22,43,282,0,1237,3031,0.384058,-0.00724638,0.797,0.01,0.005,0,0,0,0.04,0.001,0.01,0.113,0.118,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen
0.682,274,547,94483,200459,1673,1673,1663,1669,76,42,5,8,0,260,0,139,89,45,144,0,1211,1995,0.336996,-0.553114,0.409,0.008,0.013,0,0,0,0.099,0.001,0.006,0.143,0.156,0.039,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen
3.198,3078,6155,434212,1099426,1746,1746,1730,1744,208,218,806,1579,0,692,0,1154,1505,418,1666,0,2814,24096,0.432239,0.0116997,1.856,0.06,0.082,0.065,0,0,0.242,0.02,0.088,0.753,0.84,0.056,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen
0.3,145,289,76299,137406,1664,1664,1654,1661,50,31,1,15,0,128,0,102,16,26,103,0,282,1422,0.527778,-0.0694444,0.144,0.006,0.004,0,0,0,0.029,0.001,0.003,0.109,0.112,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen
