runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.393,111,220,20866,76207,1757,1757,1747,1751,30,44,0,22,0,88,0,74,14,22,162,0,961,4236,0.663636,-1.40909,0.281,0.008,0.002,0,0,0,0.043,0,0.001,0.047,0.051,0.055,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen
0.196,52,101,11282,42778,1609,1609,1603,1607,26,6,5,7,0,39,0,23,10,18,31,0,452,428,0.235294,-0.45098,0.122,0.004,0.001,0,0,0,0.037,0,0.001,0.024,0.025,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen
3.153,498,993,65602,245353,1686,1686,1679,1681,69,43,2,7,0,488,0,403,50,44,473,0,7857,3468,0.181087,0.0784708,2.672,0.022,0.011,0.002,0,0,0.274,0.001,0.019,0.154,0.166,0.039,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen
0.061,20,39,5547,21387,1676,1676,1669,1674,12,11,0,7,0,12,0,7,3,9,15,0,114,286,0.789474,0.105263,0.034,0.001,0.001,0,0,0,0.012,0,0,0.007,0.008,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen
0.102,12,23,4619,18485,1731,1731,1726,1731,7,4,0,3,0,8,0,9,0,2,10,0,154,50,0.454545,-1.09091,0.073,0,0.002,0,0,0,0.016,0,0,0.004,0.005,0.051,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen
0.094,12,23,4399,18348,1740,1740,1733,1740,11,6,0,5,0,6,0,9,0,2,10,0,190,144,0.636364,-1.36364,0.061,0,0.001,0,0,0,0.018,0,0,0.006,0.007,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen
1.146,398,771,42402,163325,1532,1532,1522,1526,37,59,1,46,0,350,0,323,39,35,411,0,2766,3776,0.302267,0.629723,0.934,0.014,0.008,0,0,0,0.077,0.002,0.007,0.099,0.107,0.052,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen
1.981,652,1303,125615,408315,1670,1670,1663,1666,62,67,2,7,0,642,0,473,118,60,525,0,3662,5044,0.21659,0.437788,1.392,0.02,0.02,0,0,0,0.242,0.001,0.019,0.283,0.307,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen
0.259,187,373,22096,84449,1739,1739,1730,1738,27,44,13,45,0,128,0,149,6,31,188,0,306,4705,0.268817,-0.655914,0.157,0.007,0.005,0,0,0,0.027,0,0.006,0.054,0.06,0.039,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen
0.227,123,245,37363,125642,1660,1660,1654,1658,72,31,0,15,0,107,0,84,14,24,85,0,234,1199,0.385246,-0.540984,0.093,0.006,0.004,0,0,0,0.034,0,0.006,0.082,0.086,0.059,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen
0.045,14,26,6133,23696,1756,1756,1752,1756,15,5,1,7,0,5,0,0,2,11,1,0,28,0,0.538462,0.153846,0.013,0,0.001,0,0,0,0.015,0.001,0.001,0.01,0.01,0.057,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-11.scen
0.054,13,25,6529,25037,1746,1746,1741,1745,16,10,2,8,0,2,0,1,4,7,9,0,39,234,1,-1.25,0.022,0,0,0,0,0,0.014,0,0,0.01,0.01,0.055,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-12.scen
60.006,78974,157949,17631101,56544247,-1,1821,1815,1821,977,26868,35508,12652,0,30814,0,8609,41175,29190,14066,0,6440,31504,0.395814,0.56663,3.88,0.599,1.933,0.273,0.004,0,1.814,0.593,1.864,36.906,38.992,0.058,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-13.scen
0.184,48,93,9827,37893,1605,1605,1599,1603,18,11,1,5,0,41,0,25,13,9,41,0,269,443,0.425532,-0.12766,0.138,0.001,0.001,0,0,0,0.022,0,0.002,0.013,0.016,0.06,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-14.scen
0.119,31,58,6338,26059,1657,1657,1653,1656,15,4,0,8,0,22,0,22,2,6,29,0,257,109,0.366667,-0.266667,0.087,0,0.001,0,0,0,0.016,0,0.003,0.008,0.008,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-15.scen
