runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.016,16,31,4677,14203,1759,1749,1747,1749,10,1,14,1,0,0,0,0,0,15,1,0,6,0,0.133333,1.4,0.001,0,0,0,0,0,0.005,0,0,0.004,0.004,0.055,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen
0.007,1,1,1857,6900,1611,1603,1603,1603,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0.052,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen
0.016,3,5,3240,10149,1695,1681,1679,1681,7,1,1,1,0,0,0,0,0,2,1,0,12,1,2,0,0.004,0,0,0,0,0,0.004,0,0,0.002,0.002,0.056,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen
0.008,2,3,2283,7972,1679,1671,1669,1671,2,1,0,1,0,0,0,0,0,1,1,0,3,0,2,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen
0.013,2,3,2673,8981,1738,1730,1726,1730,5,1,0,1,0,0,0,0,0,1,1,0,7,0,2,0,0.003,0,0,0,0,0,0.003,0,0,0.001,0.001,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen
0.014,3,5,2761,9464,1749,1739,1733,1739,7,2,0,2,0,0,0,0,0,2,1,0,9,0,2,0,0.002,0,0.001,0,0,0,0.004,0,0,0.001,0.001,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen
0.008,2,3,2143,7452,1530,1522,1522,1522,4,0,1,0,0,0,0,0,0,1,1,0,5,0,0,1,0.001,0,0,0,0,0,0.001,0,0,0.001,0.001,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen
0.01,3,5,2490,8445,1677,1665,1663,1665,4,1,1,1,0,0,0,0,0,2,1,0,6,0,2,0,0.001,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.046,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen
0.019,7,13,3865,11950,1750,1736,1730,1736,7,3,4,2,0,0,0,0,0,6,1,0,12,2,1,0.166667,0.004,0,0,0,0,0,0.004,0,0,0.004,0.004,0.05,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen
0.012,1,1,2610,8704,1670,1656,1654,1656,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.003,0,0,0,0,0,0.002,0,0,0.001,0.001,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen
0.014,1,1,2543,8703,1766,1754,1752,1754,6,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0.003,0,0,0,0,0,0.002,0,0,0.001,0.001,0.048,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-11.scen
0.023,6,11,6632,16695,1763,1743,1741,1743,6,2,4,1,0,0,0,0,0,5,1,0,9,1,0.8,0.4,0.002,0,0.001,0,0,0,0.006,0,0,0.007,0.007,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-12.scen
0.011,1,1,2573,8875,1831,1817,1815,1817,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0.001,0,0,0,0,0,0.002,0,0,0.001,0.001,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-13.scen
0.01,2,3,2814,8986,1613,1599,1599,1599,5,0,1,0,0,0,0,0,0,1,1,0,6,0,0,2,0.002,0,0,0,0,0,0.002,0,0,0,0,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-14.scen
0.015,1,1,3136,9554,1665,1657,1653,1657,6,0,0,0,0,0,0,0,0,0,1,0,7,4,0,0,0.004,0,0.001,0,0,0,0.003,0,0.001,0.001,0.001,0.05,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-15.scen
0.022,3,5,5057,13200,1696,1690,1686,1690,8,1,1,1,0,0,0,0,0,2,1,0,8,0,1,1,0.004,0,0.001,0,0,0,0.007,0,0,0.004,0.004,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-16.scen
0.009,1,1,2329,8048,1629,1619,1619,1619,5,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0.001,0.001,0,0,0,0.002,0,0,0,0,0.044,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-17.scen
0.012,2,3,2289,8193,1650,1642,1640,1642,7,1,0,1,0,0,0,0,0,1,1,0,10,0,2,-1,0.003,0,0,0,0,0,0.003,0,0,0.001,0.001,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-18.scen
0.012,1,1,2583,8844,1759,1743,1743,1743,5,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0.002,0,0,0,0,0,0.003,0,0,0.001,0.001,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-19.scen
0.009,2,3,2190,7999,1799,1793,1791,1793,2,1,1,0,0,0,0,0,0,1,1,0,3,0,2,0,0.001,0,0,0,0,0,0.002,0,0,0,0,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-20.scen
0.01,3,5,2393,8230,1660,1646,1642,1646,3,2,0,2,0,0,0,0,0,2,1,0,5,0,2,0,0.002,0,0,0,0,0,0.001,0,0,0.001,0.001,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-21.scen
