runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.013,3,5,3001,12331,1759,1747,1747,1747,5,0,2,0,0,0,0,0,0,2,1,0,4,1,0,1.5,0,0,0,0,0,0,0.002,0,0,0.002,0.002,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen
0.008,1,1,1999,9117,1607,1603,1603,1603,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen
0.019,2,3,2704,11669,1690,1679,1679,1679,9,0,0,1,0,0,0,0,0,1,1,0,10,4,0,1,0.002,0,0,0,0,0,0.005,0,0.001,0.001,0.001,0.048,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen
0.008,1,1,2016,9166,1675,1669,1669,1669,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.041,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen
0.015,1,1,2811,11612,1736,1727,1726,1727,5,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0.003,0,0,0,0,0,0.003,0,0,0.001,0.001,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen
0.009,1,1,2367,10519,1742,1734,1733,1734,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0.044,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen
0.009,1,1,2244,9265,1531,1522,1522,1522,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.04,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen
0.012,2,3,2474,10649,1673,1664,1663,1664,4,1,0,1,0,0,0,0,0,1,1,0,5,2,1,0,0,0,0.001,0,0,0,0.003,0,0,0.001,0.001,0.052,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen
0.009,1,3,2512,10770,1747,1730,1730,1730,3,0,1,0,0,0,0,0,0,1,1,0,4,0,-1,2,0,0,0.001,0,0,0,0.001,0,0,0,0,0.042,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen
0.009,1,1,2470,10517,1662,1654,1654,1654,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.046,WDG+R+C+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen
