runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.036,6,11,4632,13956,1789,1751,1747,1751,13,1,0,1,0,4,0,0,0,5,1,0,33,1,1.2,0.6,0.014,0,0,0,0,0,0.01,0,0.001,0.005,0.005,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen
0.021,1,1,2859,9869,1619,1605,1603,1605,14,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0.005,0,0,0,0,0,0.008,0,0,0.002,0.002,0.052,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen
0.037,4,7,3898,12498,1701,1681,1679,1681,16,2,1,0,0,2,0,0,0,3,1,0,30,2,1.33333,-0.333333,0.015,0,0,0,0,0,0.013,0,0.001,0.002,0.002,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen
0.031,3,5,3361,11262,1685,1673,1669,1673,13,2,0,1,0,1,0,0,0,2,1,0,30,0,2,-1.5,0.011,0,0.003,0,0,0,0.009,0,0,0.002,0.004,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen
0.043,3,5,3794,12366,1742,1732,1726,1732,15,2,0,1,0,1,0,0,0,2,1,0,30,0,2,-1.5,0.02,0,0,0,0,0,0.015,0,0,0.002,0.002,0.042,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen
0.03,6,11,3519,11908,1757,1739,1733,1739,14,2,2,2,0,1,0,0,0,5,1,0,29,0,1.2,0.6,0.012,0,0,0,0,0,0.009,0,0,0.002,0.002,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen
0.028,4,7,3366,11105,1542,1524,1522,1524,12,1,1,1,0,1,0,0,0,3,1,0,30,1,0.666667,0,0.008,0,0.001,0,0,0,0.011,0,0,0.003,0.003,0.048,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen
0.027,2,3,3478,11212,1683,1665,1663,1665,12,1,0,1,0,0,0,0,0,1,1,0,29,0,2,-1,0.008,0,0,0,0,0,0.009,0,0.001,0.003,0.003,0.056,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen
0.045,6,11,4293,13291,1768,1738,1730,1738,17,3,1,2,0,2,0,0,0,5,1,0,37,4,1.2,0.2,0.02,0,0,0,0,0,0.013,0,0,0.005,0.005,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen
0.021,1,1,3341,10636,1672,1656,1654,1656,11,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0.006,0,0.001,0,0,0,0.006,0,0,0.001,0.002,0.055,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen
0.03,1,1,3574,11547,1772,1754,1752,1754,11,0,0,0,0,0,0,0,0,0,1,0,28,1,0,0,0.012,0,0,0,0,0,0.008,0.001,0,0.003,0.003,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-11.scen
0.036,4,7,4323,13276,1767,1743,1741,1743,12,1,2,0,0,1,0,0,0,3,1,0,31,5,0.666667,0,0.015,0,0.001,0.001,0,0,0.008,0,0,0.004,0.004,0.052,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-12.scen
0.036,2,3,3645,12167,1849,1819,1815,1819,16,0,0,0,0,1,0,0,0,1,1,0,27,0,0,2,0.016,0,0,0,0,0,0.01,0,0,0.003,0.003,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-13.scen
0.023,3,7,3780,11704,1619,1599,1599,1599,10,0,2,0,0,1,0,0,0,3,1,0,16,2,0,1,0.006,0,0,0,0,0,0.008,0,0,0.002,0.002,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-14.scen
0.043,2,3,4053,12367,1667,1657,1653,1657,16,0,0,0,0,1,0,0,0,1,1,0,34,4,0,1,0.023,0,0,0,0,0,0.01,0,0.001,0.002,0.002,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-15.scen
0.042,3,5,3889,12097,1706,1690,1686,1690,12,0,0,0,0,2,0,0,0,2,1,0,27,0,0,1,0.024,0,0,0,0,0,0.009,0,0,0.003,0.003,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-16.scen
0.025,2,3,3853,11080,1641,1619,1619,1619,9,0,0,0,0,1,0,0,0,1,1,0,20,0,0,1,0.007,0,0,0,0,0,0.008,0,0,0.004,0.004,0.051,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-17.scen
0.022,3,5,2941,10153,1658,1642,1640,1642,12,1,1,1,0,0,0,0,0,2,1,0,26,0,2,0,0.008,0,0.001,0,0,0,0.006,0,0,0.002,0.002,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-18.scen
0.024,2,3,3640,11889,1763,1743,1743,1743,15,0,0,0,0,1,0,0,0,1,1,0,21,0,0,1,0.006,0,0.001,0,0,0,0.008,0,0,0.002,0.002,0.057,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-19.scen
0.028,4,7,3543,11192,1805,1797,1791,1797,9,3,1,0,0,2,0,0,0,3,1,0,20,0,2,-2.33333,0.012,0,0,0,0,0,0.008,0,0,0.002,0.002,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-20.scen
0.031,3,5,3100,10458,1664,1648,1642,1648,14,2,0,2,0,0,0,0,0,2,1,0,25,0,2,-0.5,0.014,0,0.001,0,0,0,0.008,0,0,0.002,0.003,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-21.scen
0.044,3,5,3625,12199,1773,1759,1757,1759,20,0,1,0,0,1,0,0,0,2,1,0,28,0,0,1,0.023,0,0,0,0,0,0.011,0,0,0.003,0.003,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-22.scen
0.037,4,7,4099,12939,1761,1733,1731,1733,16,1,0,0,0,3,0,0,0,3,1,0,26,0,0.666667,0.666667,0.011,0,0.001,0,0,0,0.011,0,0,0.005,0.006,0.047,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-23.scen
0.029,5,9,3728,11667,1739,1719,1713,1719,12,3,0,3,0,1,0,0,0,4,1,0,22,3,2,0,0.006,0,0.001,0,0,0,0.011,0,0.001,0.005,0.005,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-24.scen
0.03,3,5,2888,9949,1618,1606,1602,1606,11,2,0,2,0,0,0,0,0,2,1,0,26,0,2,-0.5,0.013,0,0,0,0,0,0.009,0,0,0.002,0.002,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-25.scen
