runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.027,4,7,3604,14877,1773,1747,1747,1747,10,0,0,0,0,3,0,0,0,3,1,0,30,0,0,1,0.007,0,0,0,0,0,0.008,0,0,0.004,0.004,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-1.scen
0.022,1,1,2926,12616,1612,1605,1603,1605,11,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0.006,0,0,0,0,0,0.006,0,0,0.003,0.003,0.052,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-2.scen
0.032,5,9,4645,17682,1701,1680,1679,1680,15,0,2,0,0,2,0,0,0,4,1,0,28,5,-0.25,1.75,0.008,0,0.001,0,0,0,0.01,0,0,0.002,0.002,0.069,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-3.scen
0.028,2,3,3262,14042,1681,1671,1669,1671,15,1,0,0,0,1,0,0,0,1,1,0,31,0,3,-4,0.007,0,0,0,0,0,0.01,0,0,0.004,0.004,0.048,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-4.scen
0.038,3,5,4162,16552,1747,1729,1726,1729,12,1,0,0,0,2,0,0,0,2,1,0,26,1,1.5,-1,0.013,0,0,0,0,0,0.013,0,0,0.004,0.004,0.054,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-5.scen
0.027,1,1,3455,14800,1750,1734,1733,1734,15,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0.006,0,0.002,0,0,0,0.009,0,0,0.002,0.003,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-6.scen
0.023,2,3,3205,13002,1536,1524,1522,1524,14,1,0,0,0,1,0,0,0,1,1,0,25,1,2,-2,0.006,0,0,0,0,0,0.006,0,0,0.003,0.003,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-7.scen
0.03,1,1,4410,16175,1683,1664,1663,1664,12,0,0,0,0,0,0,0,0,0,1,0,20,1,0,0,0.008,0,0,0,0,0,0.009,0,0,0.005,0.005,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-8.scen
0.032,3,5,3865,16041,1755,1731,1730,1731,17,1,0,0,0,2,0,0,0,2,1,0,29,0,1,0.5,0.009,0,0.001,0,0,0,0.011,0,0,0.004,0.004,0.062,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-9.scen
0.022,1,1,3620,14396,1664,1654,1654,1654,10,0,0,0,0,0,0,0,0,0,1,0,20,1,0,0,0.005,0,0,0,0,0,0.006,0,0,0.002,0.002,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-10.scen
0.022,1,1,3231,13797,1762,1752,1752,1752,9,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0.005,0,0.001,0,0,0,0.007,0,0,0.002,0.002,0.054,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-11.scen
0.029,3,5,4066,16525,1760,1742,1741,1742,15,1,1,0,0,1,0,0,0,2,1,0,27,3,2.5,0.5,0.007,0,0.003,0,0,0,0.009,0,0,0.002,0.004,0.05,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-12.scen
0.031,3,5,3735,15653,1839,1818,1815,1818,16,0,0,0,0,2,0,0,0,2,1,0,27,0,0,1,0.009,0,0.001,0.001,0,0,0.009,0,0,0.003,0.004,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-13.scen
0.017,2,3,3082,12559,1616,1599,1599,1599,7,0,0,0,0,1,0,0,0,1,1,0,9,0,-1,1,0.003,0,0,0,0,0,0.004,0,0,0.002,0.002,0.049,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-14.scen
0.04,1,1,3633,15099,1665,1653,1653,1653,15,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,0.014,0,0,0,0,0,0.011,0,0,0.004,0.004,0.043,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-15.scen
0.028,1,1,3235,13781,1694,1686,1686,1686,11,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0.01,0,0.001,0,0,0,0.008,0,0,0.002,0.003,0.043,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-16.scen
0.019,2,3,3200,12997,1639,1619,1619,1619,10,0,0,0,0,1,0,0,0,1,1,0,14,0,0,1,0.004,0,0,0,0,0,0.005,0,0,0.002,0.002,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-17.scen
0.024,2,3,3451,14422,1652,1640,1640,1640,15,0,1,0,0,0,0,0,0,1,1,0,20,0,0,1,0.006,0,0.001,0,0,0,0.007,0,0.001,0.003,0.003,0.049,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-18.scen
0.028,1,1,3421,14348,1755,1743,1743,1743,14,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,0.007,0,0.001,0,0,0,0.008,0,0.001,0.003,0.003,0.042,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-19.scen
0.024,4,7,3086,13457,1808,1797,1791,1797,9,3,1,0,0,2,0,0,0,3,1,0,21,0,2.33333,-2.33333,0.006,0,0.001,0,0,0,0.008,0,0,0.002,0.002,0.059,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-20.scen
0.024,1,1,2890,12474,1654,1644,1642,1644,15,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,0.007,0,0,0,0,0,0.007,0,0,0.003,0.003,0.04,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-21.scen
0.026,4,7,3660,14942,1777,1757,1757,1757,9,0,2,0,0,1,0,0,0,3,1,0,21,0,0,1,0.007,0.001,0,0,0,0,0.007,0,0,0.003,0.003,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-22.scen
0.029,4,7,3308,14112,1749,1733,1731,1733,11,1,0,0,0,3,0,0,0,3,1,0,23,0,1.33333,0,0.008,0,0,0,0,0,0.01,0,0.001,0.003,0.003,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-23.scen
0.028,3,5,3679,15155,1740,1713,1713,1713,14,0,0,0,0,2,0,0,0,2,1,0,22,0,-1,1,0.005,0,0,0,0,0,0.011,0,0,0.003,0.003,0.041,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-24.scen
0.022,1,1,2884,12524,1614,1602,1602,1602,10,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0.005,0,0.002,0,0,0,0.007,0,0,0.002,0.003,0.044,WDG+R+C+T+BP with AStar,instances/empty-32-32/empty-32-32-random-80-agents-25.scen
