runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
60.005,74603,149207,9351407,24522814,-1,1811,1797,1811,8594,1977,72626,1977,0,0,0,36160,29874,8569,76580,0,35842,366105,0.500462,0.546493,11.214,2.973,1.38,0.343,1.168,0,1.401,0.235,1.616,16.018,17.543,0.051,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-1.scen
0.022,15,29,4030,12005,1643,1643,1639,1643,14,5,10,3,1,0,0,4,1,9,5,0,21,59,0.857143,-0.142857,0.005,0,0,0,0,0,0.007,0,0,0.005,0.005,0.047,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-3.scen
0.036,19,37,5654,16150,1891,1891,1879,1891,9,12,5,12,1,0,0,5,0,13,6,0,32,49,1.77778,-0.5,0.016,0,0,0,0,0,0.007,0,0,0.007,0.007,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-4.scen
0.047,38,75,7044,19721,1772,1772,1758,1772,19,12,24,10,3,0,0,20,1,16,35,0,48,581,0.918919,-0.27027,0.017,0.002,0.001,0,0,0,0.011,0,0.001,0.011,0.011,0.043,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-5.scen
0.037,27,53,6220,17696,1866,1866,1856,1865,16,4,15,11,0,0,0,6,3,17,18,0,39,346,1.07692,-0.0769231,0.01,0,0.001,0,0,0,0.013,0,0,0.007,0.008,0.052,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-6.scen
60.001,133897,267795,13636379,36548677,-1,1796,1786,1795,3088,9984,75807,58090,0,0,0,100098,28581,5218,141440,0,15697,848849,0.663122,0.250043,7.73,6.03,1.923,1.429,0.066,0,1.175,0.438,2.582,24.465,26.624,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-7.scen
4.397,13602,27203,1598927,3969197,1979,1979,1965,1977,82,1151,10263,2027,1311,0,0,8877,3843,881,12225,0,278,73638,0.699066,0.493787,0.144,0.464,0.185,0.198,0.456,0,0.024,0.029,0.267,2.728,2.932,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-8.scen
0.064,108,215,18826,48882,1719,1719,1707,1717,19,43,46,60,1,0,0,70,21,16,90,0,32,1760,1.17757,-0.551402,0.009,0.002,0.001,0,0,0,0.013,0,0.002,0.032,0.034,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-9.scen
60.008,142126,284253,16543767,42312302,-1,1778,1767,1775,16600,10113,128608,11434,2084,0,0,85914,50422,5790,106184,0,2808,1151433,0.254366,0.344096,2.135,4.275,2.353,0.477,0.951,0,0.184,0.285,2.977,28.413,31.036,0.051,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-10.scen
0.08,82,163,18758,44507,1857,1857,1847,1857,18,13,68,13,0,0,0,33,26,22,56,0,49,257,0.740741,0.407407,0.031,0.001,0.001,0,0,0,0.012,0,0.001,0.029,0.029,0.052,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-11.scen
