runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
1.215,274,546,133737,232494,1855,1855,1839,1847,40,33,46,6,0,221,0,214,13,46,307,0,1469,3926,0.3663,0.025641,0.869,0.012,0.01,0,0,0,0.119,0.001,0.005,0.196,0.208,0.05,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-2.scen
0.153,38,75,9565,24626,1647,1647,1639,1643,21,8,5,3,3,26,0,17,5,15,21,0,354,324,0.432432,-0.189189,0.1,0.002,0.002,0,0.002,0,0.03,0,0.002,0.012,0.013,0.044,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-3.scen
60.001,47270,89251,7193537,17166939,-1,1905,1879,1901,145,110,38284,3778,2,5206,0,46700,388,182,63208,0,26008,462193,0.265665,0.73351,33.922,3.79,1.078,0.216,0.015,0,3.562,0.471,1.247,13.175,14.332,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-4.scen
45.575,45682,90440,7922286,16933082,1780,1780,1758,1774,1111,2719,30627,1429,177,13448,0,37483,7831,367,60087,0,52346,548932,0.153981,0.598805,22.856,2.295,0.99,0.123,0.074,0,3.259,0.35,1.132,13.531,14.637,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-5.scen
60.001,53355,102788,7733312,16190937,-1,1884,1856,1868,809,2493,42383,7079,107,3786,0,46512,6285,558,61252,0,46276,523878,0.407047,0.273208,38.918,2.329,1.176,0.262,0.044,0,1.393,0.409,1.35,13.368,14.636,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-6.scen
60.001,19509,39018,4770931,10119856,-1,1802,1786,1801,123,26,19402,29,20,58,0,10125,6715,2669,13035,0,18846,23893,0.201651,1.00179,43.651,0.556,0.397,0.033,0.014,0,6.255,0.139,0.452,7.953,8.382,0.054,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-7.scen
10.669,7376,14449,2209096,4261893,1989,1989,1965,1983,620,421,4799,377,376,1823,0,5095,1517,763,6542,0,10536,67675,0.590373,0.0680678,5.088,0.304,0.201,0.064,0.166,0,1.008,0.053,0.225,3.49,3.713,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-8.scen
1.67,1697,3327,434001,900601,1727,1727,1707,1723,316,280,228,270,2,1196,0,906,414,376,1002,0,2061,24780,0.330189,-0.357311,0.616,0.039,0.047,0.004,0,0,0.167,0.008,0.054,0.737,0.787,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-9.scen
3.951,2542,5013,349926,849665,1783,1783,1767,1776,198,317,1383,214,158,787,0,1718,262,562,2474,0,5674,30718,0.429583,-0.329268,2.618,0.087,0.071,0.016,0.113,0,0.331,0.01,0.052,0.608,0.684,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-10.scen
4.428,643,1285,266558,475616,1765,1765,1743,1753,57,135,199,104,0,339,0,307,186,149,482,0,6513,3748,0.629283,-0.190031,3.772,0.027,0.017,0.001,0,0,0.192,0.002,0.023,0.391,0.41,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-12.scen
