runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.011,3,5,2735,8690,1819,1801,1797,1801,6,2,0,2,0,0,0,0,0,2,1,0,10,4,2,-0.5,0.002,0,0,0,0,0,0.002,0,0.001,0.001,0.001,0.039,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-1.scen
0.011,6,11,3100,9600,1861,1841,1839,1841,4,1,4,1,0,0,0,0,0,5,1,0,7,0,0,0.8,0.001,0,0,0,0,0,0.002,0,0,0.002,0.002,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-2.scen
0.012,3,5,2712,8413,1655,1641,1639,1641,8,1,1,1,0,0,0,0,0,2,1,0,11,0,2,0,0.002,0,0,0,0,0,0.003,0,0,0.001,0.001,0.047,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-3.scen
0.01,7,13,2969,9514,1907,1881,1879,1881,2,1,5,1,0,0,0,0,0,6,1,0,3,0,0.333333,0.833333,0.001,0,0,0,0,0,0.002,0,0,0.001,0.001,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-4.scen
0.018,3,5,3443,10517,1780,1762,1758,1762,13,0,2,0,0,0,0,0,0,2,1,0,15,1,0,1,0.004,0,0.001,0,0,0,0.005,0,0,0.002,0.002,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-5.scen
0.016,4,7,3162,9869,1878,1860,1856,1860,11,1,2,1,0,0,0,0,0,3,1,0,15,0,0,1.66667,0.003,0,0.002,0,0.001,0,0.004,0,0,0.001,0.002,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-6.scen
0.014,2,3,2854,9137,1812,1790,1786,1790,11,1,0,1,0,0,0,0,0,1,1,0,14,3,2,0,0.003,0,0.001,0,0,0,0.004,0,0,0.001,0.001,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-7.scen
0.015,4,7,3215,9953,1987,1969,1965,1969,7,1,2,1,0,0,0,0,0,3,1,0,9,1,0.666667,0.666667,0.004,0,0,0,0,0,0.002,0,0,0.002,0.002,0.037,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-8.scen
0.013,5,9,2752,8782,1729,1713,1707,1713,8,3,1,3,0,0,0,0,0,4,1,0,11,3,1.5,0.25,0.003,0,0,0,0,0,0.004,0,0,0.001,0.001,0.05,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-9.scen
0.019,5,9,3692,10998,1791,1772,1767,1772,13,1,3,1,0,0,0,0,0,4,1,0,16,1,0.5,1,0.004,0,0.001,0,0,0,0.006,0,0,0.002,0.002,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-10.scen
0.013,3,5,3385,10020,1873,1855,1847,1855,7,1,1,1,0,0,0,0,0,2,1,0,10,1,2,0,0.003,0,0.001,0,0,0,0.002,0,0,0.001,0.002,0.043,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-11.scen
0.012,3,5,3012,9165,1765,1747,1743,1747,8,1,2,0,0,0,0,0,0,2,1,0,9,3,2,0.5,0.002,0,0,0,0.002,0,0.001,0,0,0.001,0.001,0.036,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-12.scen
0.014,2,3,3039,9264,1705,1677,1677,1677,8,0,0,1,0,0,0,0,0,1,1,0,10,3,0,2,0.003,0,0,0,0,0,0.002,0,0.001,0.003,0.003,0.042,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-13.scen
0.014,9,17,3114,9690,1760,1740,1738,1740,6,2,4,4,0,0,0,0,0,8,1,0,12,0,1,0.375,0.002,0,0.001,0,0,0,0.004,0,0,0.002,0.002,0.037,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-14.scen
0.026,5,9,4176,11773,1815,1793,1793,1793,9,0,3,1,0,0,0,0,0,4,1,0,14,8,-0.5,1.25,0.005,0,0,0,0.001,0,0.008,0,0,0.002,0.002,0.036,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-15.scen
0.016,5,9,2959,9242,1792,1764,1762,1764,9,0,2,2,0,0,0,0,0,4,1,0,14,6,0,1.5,0.003,0,0,0,0.001,0,0.005,0,0,0.001,0.001,0.034,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-16.scen
0.015,5,9,3344,10090,1835,1813,1811,1813,7,1,3,1,0,0,0,0,0,4,1,0,8,4,0.5,0.75,0.002,0,0.001,0,0,0,0.004,0,0,0.002,0.002,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-17.scen
0.008,4,7,2239,7331,1653,1641,1637,1641,2,2,2,1,0,0,0,0,0,3,1,0,7,1,2,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0.041,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-18.scen
0.01,4,7,2704,8641,1848,1818,1814,1818,3,1,2,1,0,0,0,0,0,3,1,0,7,1,2,-0.333333,0.001,0.001,0.001,0,0,0,0.001,0,0,0.001,0.001,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-19.scen
0.011,2,3,2521,8112,1727,1715,1713,1715,5,1,0,1,0,0,0,0,0,1,1,0,8,2,2,-1,0.003,0,0,0,0,0,0.003,0,0,0,0,0.037,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-20.scen
0.017,6,11,3311,10212,1806,1790,1782,1790,5,3,4,1,0,0,0,0,0,5,1,0,12,0,2.4,-0.4,0.004,0,0,0,0,0,0.005,0,0,0.001,0.002,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-21.scen
0.011,1,1,2615,8670,1967,1957,1957,1957,5,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0.002,0,0,0,0,0,0.003,0,0,0,0,0.043,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-22.scen
0.012,7,13,2696,8703,1862,1840,1830,1840,6,3,4,2,0,0,0,0,0,6,1,0,10,5,1.66667,0.5,0.002,0,0.001,0,0,0,0.002,0,0,0.002,0.002,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-23.scen
0.017,4,7,3306,9959,1825,1811,1805,1811,8,3,2,1,0,0,0,0,0,3,1,0,14,0,2,-1.33333,0.003,0,0.001,0,0,0,0.005,0,0,0.003,0.003,0.035,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-24.scen
0.013,6,11,2991,9162,1703,1675,1671,1675,5,1,4,1,0,0,0,0,0,5,1,0,12,0,1.6,0,0.002,0,0.001,0,0,0,0.003,0,0,0.001,0.001,0.045,WDG+R+C+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-25.scen
