runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.037,7,13,5613,14934,1839,1803,1797,1803,16,3,0,1,0,5,0,0,0,6,1,0,26,2,1.33333,0,0.015,0,0,0,0,0,0.011,0,0,0.005,0.005,0.05,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-1.scen
0.029,4,7,4371,12903,1885,1841,1839,1841,13,1,1,1,0,1,0,0,0,3,1,0,25,0,0,1.33333,0.012,0,0,0,0,0,0.007,0,0.001,0.003,0.003,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-2.scen
0.03,5,11,4995,13095,1661,1643,1639,1643,15,2,2,1,0,2,0,0,0,5,1,0,27,0,1.6,-0.4,0.01,0,0,0,0,0,0.009,0,0.001,0.004,0.004,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-3.scen
0.049,4,7,6091,16743,1931,1887,1879,1887,14,1,0,1,0,2,0,0,0,3,1,0,32,1,2.66667,0,0.023,0,0.001,0,0,0,0.013,0,0.001,0.005,0.005,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-4.scen
0.044,8,15,5540,16056,1794,1764,1758,1764,29,3,6,0,0,1,0,0,0,7,1,0,38,1,0.857143,0.714286,0.018,0.001,0.001,0,0,0,0.011,0,0,0.007,0.007,0.049,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-5.scen
0.056,12,23,7006,18001,1948,1862,1856,1862,18,2,4,1,0,6,0,0,0,11,1,0,43,0,0.727273,0,0.025,0,0,0,0,0,0.015,0,0,0.009,0.009,0.05,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-6.scen
0.03,5,11,5139,14452,1844,1794,1786,1794,16,4,0,1,0,4,0,0,0,5,1,0,34,2,2,0.4,0.011,0,0,0,0,0,0.008,0,0,0.005,0.005,0.044,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-7.scen
0.046,9,19,7886,19331,2043,1975,1965,1975,12,3,4,0,0,5,0,0,0,9,1,0,34,0,1.33333,0.888889,0.018,0,0.002,0,0,0,0.014,0,0,0.005,0.006,0.042,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-8.scen
0.034,7,13,4252,12484,1741,1717,1707,1717,15,4,0,3,0,3,0,0,0,6,1,0,40,0,1.66667,0,0.011,0,0,0,0,0,0.009,0,0.001,0.005,0.005,0.06,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-9.scen
0.035,4,7,4423,12931,1803,1771,1767,1771,19,1,2,0,0,1,0,0,0,3,1,0,44,2,2,-1,0.015,0,0,0,0,0,0.009,0,0,0.005,0.005,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-10.scen
0.047,10,19,8171,19542,1923,1863,1847,1863,13,4,1,1,0,7,0,0,0,9,1,0,40,1,2,-0.111111,0.017,0,0.001,0,0,0,0.01,0,0.001,0.011,0.011,0.038,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-11.scen
0.043,6,11,4887,13606,1785,1753,1743,1753,14,4,0,0,0,5,0,0,0,5,1,0,31,1,2.4,-0.2,0.02,0,0,0,0,0,0.01,0,0.001,0.007,0.007,0.037,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-12.scen
0.024,2,3,3360,10442,1709,1681,1677,1681,15,0,1,0,0,0,0,0,0,1,1,0,28,0,0,1,0.008,0,0.001,0,0,0,0.007,0,0,0.002,0.002,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-13.scen
0.03,11,21,4728,13683,1782,1746,1738,1746,15,2,6,2,0,2,0,0,0,10,1,0,30,1,0.8,0.4,0.009,0,0,0,0.001,0,0.008,0,0.001,0.006,0.006,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-14.scen
0.031,3,5,5010,13982,1831,1795,1793,1795,16,0,0,0,0,2,0,0,0,2,1,0,30,8,0,1,0.011,0,0.001,0,0,0,0.008,0,0,0.004,0.005,0.039,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-15.scen
0.038,5,9,3990,12215,1812,1764,1762,1764,19,0,2,1,0,1,0,0,0,4,1,0,41,2,-0.5,1.25,0.018,0,0.001,0,0,0,0.009,0,0,0.004,0.004,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-16.scen
0.026,2,3,3785,11700,1841,1817,1811,1817,16,1,0,1,0,0,0,0,0,1,1,0,33,3,2,0,0.006,0,0.001,0,0,0,0.01,0,0,0.003,0.003,0.039,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-17.scen
0.027,3,5,3051,9604,1653,1641,1637,1641,13,2,1,1,0,0,0,0,0,2,1,0,20,0,2,-0.5,0.014,0,0.001,0,0,0,0.006,0,0,0.001,0.002,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-18.scen
0.026,4,7,4062,12226,1858,1820,1814,1820,16,2,0,1,0,2,0,0,0,3,1,0,32,1,3.33333,-0.333333,0.008,0,0.001,0,0,0,0.008,0,0,0.003,0.003,0.047,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-19.scen
0.028,5,9,4079,12005,1757,1717,1713,1717,13,2,0,1,0,3,0,0,0,4,1,0,27,2,1,0.25,0.011,0,0.001,0,0,0,0.007,0,0.001,0.004,0.004,0.036,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-20.scen
0.033,5,9,4306,12756,1824,1794,1782,1794,12,3,1,0,0,3,0,0,0,4,1,0,40,0,3,-1.25,0.01,0,0.002,0,0,0,0.013,0,0,0.002,0.003,0.039,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-21.scen
0.021,4,9,3966,11959,1989,1957,1957,1957,10,0,2,0,0,2,0,0,0,4,1,0,19,0,0,1,0.005,0,0,0,0,0,0.006,0,0.002,0.003,0.003,0.053,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-22.scen
0.03,12,23,3938,11983,1868,1840,1830,1840,13,3,7,2,0,2,0,0,0,11,1,0,27,5,0.727273,0.545455,0.011,0,0.001,0,0,0,0.009,0,0.001,0.003,0.004,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-23.scen
0.035,5,9,3949,12241,1839,1817,1805,1817,16,2,3,0,0,1,0,0,0,4,1,0,37,0,1,-1,0.016,0,0,0,0,0,0.008,0,0.001,0.005,0.005,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-24.scen
0.049,13,25,9067,19524,1767,1681,1671,1681,12,4,5,1,0,6,0,0,0,12,1,0,30,0,1.83333,0.5,0.017,0,0.003,0,0,0,0.015,0,0,0.008,0.01,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-25.scen
