runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.029,4,7,5619,18006,1836,1800,1797,1800,13,2,0,0,0,3,0,0,0,3,1,0,24,0,0.666667,0,0.005,0.001,0.001,0,0,0,0.008,0,0,0.006,0.006,0.054,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-1.scen
0.026,4,7,5023,17099,1879,1841,1839,1841,11,1,1,0,0,2,0,0,0,3,1,0,24,0,0.333333,1.33333,0.005,0,0.001,0,0,0,0.008,0,0,0.003,0.003,0.051,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-2.scen
0.027,6,11,5509,17886,1686,1641,1639,1641,16,2,3,0,1,1,0,0,0,5,1,0,24,0,1.8,0.6,0.005,0,0.002,0,0,0,0.007,0,0,0.006,0.007,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-3.scen
0.04,4,7,6353,21236,1927,1886,1879,1886,13,2,0,1,0,2,0,0,0,3,1,0,39,0,0.666667,0.333333,0.012,0,0.001,0,0,0,0.011,0,0.001,0.005,0.007,0.046,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-4.scen
0.038,8,15,6086,20474,1802,1763,1758,1763,17,2,4,1,0,2,0,0,0,7,1,0,44,0,0.428571,0.857143,0.014,0,0,0,0,0,0.008,0,0,0.008,0.008,0.036,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-5.scen
0.035,7,15,7018,20822,1924,1860,1856,1860,9,3,2,0,0,5,0,0,0,7,1,0,27,0,1,0.285714,0.009,0,0,0,0,0,0.007,0,0,0.01,0.011,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-6.scen
0.029,3,5,4871,16976,1831,1792,1786,1792,16,2,0,0,0,2,0,0,0,2,1,0,24,5,8,0.5,0.008,0,0.001,0,0,0,0.007,0,0,0.005,0.005,0.036,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-7.scen
0.037,5,9,5339,18916,2022,1972,1965,1972,12,1,0,0,0,4,0,0,0,4,1,0,33,0,8,0.25,0.011,0,0.001,0,0,0,0.01,0,0,0.006,0.006,0.036,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-8.scen
0.028,4,7,3733,14594,1737,1712,1707,1712,11,2,0,1,0,2,0,0,0,3,1,0,31,0,1.66667,0.333333,0.007,0,0.001,0,0,0,0.009,0,0,0.004,0.004,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-9.scen
0.034,5,9,5535,18828,1802,1770,1767,1770,15,1,2,0,0,2,0,0,0,4,1,0,36,0,1.25,0,0.011,0,0.001,0,0,0,0.007,0,0.001,0.008,0.008,0.044,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-10.scen
0.036,6,11,6846,21796,1904,1859,1847,1859,13,4,0,0,0,5,0,0,0,5,1,0,36,1,2.6,-0.4,0.01,0,0.001,0,0,0,0.008,0,0.001,0.007,0.008,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-11.scen
0.029,5,11,5038,17168,1791,1749,1743,1749,12,2,0,0,0,5,0,0,0,5,1,0,24,0,1,0.2,0.007,0,0.002,0,0,0,0.007,0,0,0.005,0.006,0.034,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-12.scen
0.024,10,19,4550,16460,1708,1681,1677,1681,15,1,7,0,0,2,0,0,0,9,1,0,23,0,0.333333,1.11111,0.006,0,0.001,0,0,0,0.005,0,0,0.005,0.006,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-13.scen
0.029,7,13,4889,17012,1787,1745,1738,1745,13,1,2,0,0,4,0,0,0,6,1,0,23,0,1.66667,0.666667,0.008,0,0.001,0,0,0,0.008,0,0,0.004,0.005,0.036,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-14.scen
0.038,4,7,6973,21841,1822,1795,1793,1795,18,1,0,0,0,3,0,0,0,3,1,0,29,0,2,0.666667,0.01,0,0,0,0.001,0,0.009,0,0,0.008,0.008,0.036,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-15.scen
0.035,5,9,5600,19491,1795,1764,1762,1764,24,0,4,0,0,0,0,0,0,4,1,0,45,0,0,1,0.011,0,0,0,0,0,0.009,0,0,0.007,0.007,0.035,WDG+R+C+T+BP with AStar,instances/random-32-32-10/random-32-32-10-random-80-agents-16.scen
