runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
37.541,101141,202281,8071707,25917976,1699,1699,1675,1691,298,21982,70593,14005,16542,0,0,97906,2827,407,185361,0,1732,4964846,0.450109,0.0535693,5.314,7.118,1.595,0.269,4.6,0,0.07,0.145,1.813,16.648,18.412,0.034,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-1.scen
60.001,191409,382819,16238805,53786701,-1,1639,1624,1636,4990,8424,183254,3556,4599,0,0,184021,7028,360,228758,0,2293,6019617,0.141044,0.253729,7.598,9.076,3.143,0.832,1.341,0,0.117,0.261,3.658,33.848,37.334,0.034,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-2.scen
1.544,3680,7359,422452,1218049,1652,1652,1637,1648,27,2855,2633,72,974,0,0,3607,38,34,6765,0,133,210209,0.926339,-0.471867,0.186,0.262,0.055,0.033,0.125,0,0.013,0.003,0.071,0.825,0.884,0.04,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-3.scen
60.001,143873,287747,12837841,41255685,-1,1756,1738,1749,107,23397,130109,9097,4667,0,0,143168,581,124,249429,0,1824,6431770,0.410814,0.186067,7.597,15.888,2.498,0.593,4.405,0,0.106,0.2,2.479,26.188,28.982,0.047,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-4.scen
60.001,159165,318331,11704194,39296581,-1,1726,1706,1720,13,34874,148929,1896,8340,0,0,159066,48,51,251728,0,2764,7873999,0.598021,0.0886941,9.614,10.1,2.701,0.658,9.25,0,0.096,0.277,3.074,24.558,27.557,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-5.scen
1.019,2912,5823,235660,780815,1931,1931,1916,1926,27,912,2311,432,168,0,0,2550,124,237,3852,0,601,69773,0.452765,0.378564,0.241,0.143,0.048,0.012,0.014,0,0.032,0.006,0.045,0.485,0.537,0.028,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-6.scen
60.001,128739,257479,15308724,45680288,-1,1767,1744,1761,36,54138,107743,14199,6797,0,0,127720,286,733,246759,0,2717,9278524,0.574379,-0.010028,11.125,9.791,2.526,0.721,2.046,0,0.165,0.148,2.57,30.404,33.187,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-7.scen
60.001,148538,297077,15281136,47626677,-1,1965,1942,1959,41,72167,107367,10888,30283,0,0,147785,629,124,266761,0,1236,7518767,0.584221,0.054996,7.078,12.039,2.721,0.734,3.492,0,0.078,0.2,3.141,31.008,33.974,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-8.scen
2.882,9525,19049,679669,2336030,1808,1808,1787,1802,66,4222,8807,467,250,0,0,8350,670,504,14318,0,330,416357,0.500735,-0.0675136,0.433,0.531,0.133,0.016,0.149,0,0.026,0.01,0.173,1.439,1.595,0.05,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-9.scen
52.293,154375,308749,12415582,40592780,1782,1782,1764,1776,113,16723,145995,5355,3024,0,0,153821,330,223,207287,0,6548,5977034,0.266055,0.27274,7.988,9.095,2.66,0.819,3.031,0,0.228,0.221,2.859,25.687,28.589,0.042,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-10.scen
