runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
60.001,37944,75864,6714862,20606409,-1,1711,1675,1699,2583,9755,4417,2811,866,29850,0,29388,6361,2195,44636,0,48151,2393718,0.291535,-0.198029,32.505,1.741,1.266,0.357,5.628,0,1.53,0.206,1.154,13.583,15.005,0.029,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-1.scen
60.001,47295,94591,6642726,18254987,-1,1661,1624,1648,2142,13673,6758,378,384,39775,0,39193,5814,2288,61817,0,57014,3409538,0.61461,-0.321366,36.411,4.181,1.265,0.144,0.96,0,0.727,0.149,1.168,12.69,14.099,0.031,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-2.scen
60.001,22312,44598,3743149,9842296,-1,1676,1637,1655,210,6661,4647,599,1385,15681,0,20965,1049,298,31976,0,78982,1325336,0.374283,-0.0981983,47.846,1.472,0.564,0.117,0.297,0,1.603,0.108,0.491,6.95,7.58,0.043,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-3.scen
60.001,36999,73999,6450256,18400749,-1,1776,1738,1762,32,14686,9580,2732,1316,23371,0,36624,247,128,61983,0,39112,3706716,0.615909,0.0455958,37.084,2.681,1.24,0.22,3.875,0,0.624,0.202,1.126,12.873,14.248,0.05,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-4.scen
60.001,61613,123227,6621973,21471470,-1,1743,1706,1734,88,26216,19550,2589,4008,35466,0,60113,840,660,94483,0,31040,4786035,0.514453,0.110707,33.461,4.236,1.78,0.322,2.609,0,0.488,0.218,1.786,14.39,16.37,0.05,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-5.scen
60.001,35482,70871,4268057,12587562,-1,1967,1916,1949,197,12166,8235,2841,290,24116,0,33214,1684,584,49042,0,52739,2331875,0.413956,-0.545065,42.66,1.978,1.076,0.916,1.168,0,0.979,0.183,0.908,8.977,10.2,0.029,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-6.scen
60.001,7358,14597,4561690,7866902,-1,1801,1744,1775,18,4016,1938,944,274,4202,0,6721,318,319,11191,0,81108,603410,0.900924,-0.657923,49.323,0.467,0.225,0.088,1.032,0,1.173,0.046,0.228,7.289,7.54,0.029,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-7.scen
60.001,19702,39290,8717181,17276062,-1,2010,1942,1979,1312,5723,3160,668,67,15807,0,15523,3092,1087,22625,0,57719,1097350,0.426759,-0.802406,36.767,0.866,0.675,0.165,2.222,0,3.019,0.087,0.67,14.772,15.516,0.048,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-8.scen
60.001,22336,42780,3321716,9420826,-1,1829,1787,1810,21,9835,4371,1843,1727,14395,0,21232,532,572,35497,0,115024,1325521,0.627328,0.104585,49.165,1.262,0.586,0.079,0.284,0,1.525,0.085,0.496,6.095,6.744,0.05,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-9.scen
60.001,12834,25669,2910945,7881638,-1,1814,1764,1794,45,5215,2656,523,85,9570,0,12460,149,225,18883,0,152433,852944,1.17352,-1.01325,50.158,0.763,0.435,0.067,0.545,0,2.218,0.076,0.415,5.25,5.734,0.027,WDG+R+C+T+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-10.scen
