runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.02,12,23,3984,13483,1716,1682,1675,1682,13,3,9,0,2,0,0,0,0,11,1,0,18,0,1.18182,0.727273,0.004,0.001,0,0,0,0,0.003,0,0.002,0.005,0.005,0.043,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-1.scen
0.025,16,31,5985,17888,1671,1633,1624,1633,16,10,11,2,2,0,0,0,0,15,1,0,22,0,1.13333,0.8,0.005,0,0,0,0,0,0.005,0,0,0.007,0.007,0.028,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-2.scen
0.021,8,17,4321,14260,1672,1644,1637,1644,15,4,6,2,0,0,0,0,0,8,1,0,23,0,0.625,0.375,0.005,0,0.001,0,0.001,0,0.003,0,0,0.005,0.005,0.028,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-3.scen
0.026,14,27,6808,19526,1785,1744,1738,1744,13,3,10,0,3,0,0,0,0,13,1,0,17,3,0.769231,0.769231,0.005,0,0,0,0.001,0,0.003,0,0,0.009,0.009,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-4.scen
0.025,21,41,6691,19762,1758,1717,1706,1717,9,12,15,3,2,0,0,0,0,20,1,0,18,0,0.85,0.7,0.005,0,0,0,0,0,0.004,0,0.001,0.009,0.009,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-5.scen
0.021,13,27,5307,17169,1964,1923,1916,1923,10,5,10,3,0,0,0,0,0,13,1,0,15,4,0.692308,0.692308,0.004,0,0,0,0,0,0.002,0,0,0.007,0.007,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-6.scen
0.034,24,49,8999,25046,1803,1751,1744,1751,9,8,24,0,0,0,0,0,0,24,1,0,19,0,0.875,0.708333,0.007,0,0.001,0,0.001,0,0.004,0,0,0.013,0.014,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-7.scen
0.02,6,11,4506,15213,1987,1950,1942,1950,9,3,5,0,0,0,0,0,0,5,1,0,12,0,2,0.4,0.006,0,0,0,0.001,0,0.001,0,0,0.004,0.004,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-8.scen
0.024,11,21,4965,15950,1837,1795,1787,1795,12,5,9,0,1,0,0,0,0,10,1,0,20,0,1.1,0.3,0.007,0,0.001,0,0.001,0,0.003,0,0.001,0.005,0.005,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-9.scen
0.028,14,27,5319,16937,1796,1770,1764,1770,15,6,12,1,0,0,0,0,0,13,1,0,23,3,0.461538,0.615385,0.006,0,0.001,0,0.001,0,0.004,0,0.002,0.007,0.007,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-10.scen
0.023,18,35,5499,16781,1623,1588,1584,1588,15,3,11,0,6,0,0,0,0,17,1,0,24,0,0.705882,0.588235,0.005,0,0.001,0,0,0,0.005,0,0,0.006,0.007,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-11.scen
0.036,21,41,9223,24591,1792,1751,1742,1751,11,7,16,2,2,0,0,0,0,20,1,0,19,2,1.4,0.65,0.009,0,0,0,0.001,0,0.007,0,0.001,0.01,0.01,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-12.scen
0.02,5,9,4523,15057,1850,1811,1805,1811,16,1,4,0,0,0,0,0,0,4,1,0,20,0,-1,1.75,0.004,0,0,0,0,0,0.003,0,0.001,0.005,0.005,0.038,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-13.scen
0.024,14,29,5719,17390,1630,1590,1582,1590,15,4,10,1,3,0,0,0,0,14,1,0,20,0,0.214286,1,0.005,0,0,0,0.002,0,0.004,0,0,0.006,0.006,0.03,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-14.scen
0.026,12,23,6994,20833,1894,1840,1834,1840,14,1,9,0,2,0,0,0,0,11,1,0,18,2,1.18182,0.636364,0.004,0,0,0,0,0,0.005,0.001,0,0.008,0.008,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-15.scen
0.029,15,29,8046,22325,1984,1948,1942,1948,11,3,13,0,1,0,0,0,0,14,1,0,13,0,0.642857,1,0.004,0,0.001,0,0.001,0,0.004,0,0,0.011,0.011,0.031,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-16.scen
0.009,2,3,2583,9672,1747,1714,1711,1714,4,1,1,0,0,0,0,0,0,1,1,0,4,0,1,2,0.001,0,0.001,0,0,0,0.001,0,0,0,0,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-17.scen
0.023,8,15,5714,17680,1744,1712,1710,1712,16,1,7,0,0,0,0,0,0,7,1,0,16,0,0.571429,1,0.005,0,0,0,0.001,0,0.003,0,0,0.007,0.007,0.04,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-18.scen
0.022,9,17,5348,16811,1890,1836,1829,1836,14,2,7,0,1,0,0,0,0,8,1,0,18,0,0.5,0.75,0.005,0,0.001,0,0.001,0,0.003,0,0,0.005,0.005,0.029,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-19.scen
0.036,13,25,10514,26957,2036,1987,1982,1987,11,1,8,0,4,0,0,0,0,12,1,0,12,0,0.5,1,0.005,0,0.001,0,0.005,0,0.004,0,0,0.011,0.012,0.04,WDG+R+C+BP with AStar,instances/random-32-32-20/random-32-32-20-random-80-agents-20.scen
