runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.06,11,21,7525,30202,3181,3181,3176,3181,14,5,3,0,2,0,0,25,0,0.026,0,0.001,0,0,0,0.011,0,0,0.009,0.01,0.152,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-1.scen:
0.175,26,49,17516,64178,3477,3477,3470,3476,32,6,9,1,9,0,0,64,8,0.088,0.002,0.004,0.002,0.006,0,0.026,0,0,0.028,0.033,0.136,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-2.scen:
0.058,5,9,7322,29370,3519,3519,3515,3519,14,0,3,0,1,0,0,22,0,0.024,0,0.001,0.001,0,0,0.012,0,0,0.007,0.008,0.132,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-3.scen:
0.048,6,11,7002,27672,3473,3473,3465,3473,6,0,2,1,2,0,0,15,0,0.019,0.001,0.001,0.001,0,0,0.006,0,0.003,0.007,0.007,0.135,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-4.scen:
0.075,4,7,7430,29631,3358,3358,3354,3358,16,2,0,0,1,0,0,30,0,0.036,0,0.002,0.001,0,0,0.015,0,0,0.006,0.007,0.157,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-5.scen:
0.099,5,9,8747,33656,3356,3356,3354,3355,13,0,2,0,2,0,0,19,1,0.046,0,0.002,0.003,0,0,0.018,0,0,0.015,0.016,0.135,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-6.scen:
0.092,16,31,17669,67959,3387,3387,3382,3386,67,0,14,1,0,0,0,20,7,0.025,0.002,0.001,0.002,0,0,0.011,0,0.005,0.034,0.034,0.13,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-7.scen:
0.096,8,15,13257,39133,3337,3337,3327,3335,10,1,0,1,5,0,0,29,0,0.047,0,0.001,0,0,0,0.016,0,0.001,0.02,0.02,0.125,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-8.scen:
0.031,4,7,4592,19329,3040,3040,3034,3040,7,0,1,1,1,0,0,13,0,0.012,0,0.001,0,0,0,0.004,0,0,0.004,0.004,0.134,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-9.scen:
12.769,283,567,199293,681165,3371,3371,3363,3370,86,230,20,1,32,0,0,609,0,11.776,0.012,0.016,0.036,0,0,0.438,0,0.013,0.462,0.48,0.123,WDG+GR+GC+T+BP with AStar,instances/random-64-64-10/random-64-64-10-random-80-agents-10.scen:
