runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
5.925,1326,2653,777719,2412545,3631,3631,3617,3628,1512,941,145,61,179,0,0,2070,1743,3.353,0.079,0.067,0.129,0.176,0,0.192,0.012,0.105,1.72,1.81,0.104,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-1.scen:
16.212,9584,19137,4853927,14403215,3582,3582,3557,3571,7952,1060,818,1868,5838,0,0,1519,14930,1.955,0.541,0.468,0.25,1.988,0,0.324,0.044,0.54,10.192,10.803,0.109,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-2.scen:
2.766,1145,2289,722720,2292747,3619,3619,3602,3615,1199,397,220,94,433,0,0,582,1251,0.743,0.051,0.063,0.045,0.096,0,0.117,0.004,0.075,1.577,1.653,0.128,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-3.scen:
0.2,65,129,22662,82879,3727,3727,3711,3724,64,35,11,9,9,0,0,108,51,0.081,0.008,0.003,0.002,0.005,0,0.03,0.001,0.004,0.053,0.057,0.101,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-4.scen:
1.796,213,427,208893,482442,3461,3461,3438,3451,251,34,37,16,126,0,0,159,159,1.175,0.01,0.01,0.004,0.049,0,0.126,0,0.013,0.404,0.417,0.121,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-5.scen:
0.14,48,95,33312,110353,3333,3333,3320,3327,87,12,3,14,18,0,0,44,36,0.043,0.003,0.005,0,0.002,0,0.013,0.002,0.003,0.061,0.067,0.103,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-6.scen:
0.189,58,115,22177,61920,3487,3487,3464,3480,10,36,9,9,3,0,0,61,69,0.106,0.005,0.002,0,0.016,0,0.009,0,0.002,0.037,0.041,0.111,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-7.scen:
0.096,22,43,8851,32500,3218,3218,3209,3216,12,11,1,2,7,0,0,43,7,0.047,0.003,0.002,0,0.005,0,0.012,0,0.003,0.013,0.016,0.145,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-8.scen:
0.121,23,45,14695,46270,3601,3601,3592,3598,26,15,2,0,5,0,0,70,5,0.063,0.001,0,0.001,0,0,0.018,0.001,0.003,0.025,0.025,0.105,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-9.scen:
0.318,87,173,67665,198602,3449,3449,3431,3441,148,37,2,10,37,0,0,91,78,0.11,0.007,0.001,0.001,0.019,0,0.028,0,0.006,0.136,0.138,0.103,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-10.scen:
6.118,3639,7277,1697914,5279255,3468,3468,3441,3459,4843,2225,280,288,845,0,0,575,6088,0.643,0.223,0.209,0.137,0.877,0,0.105,0.012,0.267,3.704,3.96,0.134,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-11.scen:
11.975,3858,7696,2910796,7928300,3649,3649,3623,3641,4342,1461,691,391,1314,0,0,1835,9541,2.93,0.24,0.208,0.387,1.212,0,0.554,0.029,0.264,6.063,6.347,0.104,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-12.scen:
0.805,232,463,132452,403791,3585,3585,3566,3580,204,40,34,43,114,0,0,315,236,0.33,0.016,0.009,0.009,0.052,0,0.08,0.002,0.015,0.281,0.293,0.142,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-13.scen:
0.152,43,85,22956,80458,3573,3573,3559,3570,67,15,4,5,18,0,0,60,52,0.065,0.005,0.005,0,0.002,0,0.015,0,0.003,0.043,0.048,0.12,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-14.scen:
2.73,1325,2649,820191,2506695,3782,3782,3744,3769,1659,273,307,32,712,0,0,228,1790,0.502,0.077,0.075,0.092,0.01,0,0.097,0.012,0.105,1.778,1.87,0.104,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-15.scen:
0.309,99,197,57500,195063,3505,3505,3490,3501,182,28,16,15,39,0,0,92,77,0.114,0.004,0.006,0.007,0.025,0,0.02,0,0.008,0.116,0.121,0.107,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-16.scen:
0.219,75,149,46693,135222,3597,3597,3576,3594,69,13,3,24,34,0,0,64,89,0.077,0.006,0.002,0.001,0.019,0,0.02,0,0.003,0.078,0.081,0.106,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-17.scen:
0.3,74,147,42739,127545,3444,3444,3421,3440,70,27,7,9,30,0,0,119,43,0.161,0.005,0.003,0,0.002,0,0.029,0,0.003,0.084,0.086,0.103,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-18.scen:
2.248,20,36,623454,651449,3731,3731,3695,3726,11,2,0,3,14,0,0,39,0,0.576,0,0,0.001,0.003,0,0.011,0,0.002,1.643,1.644,0.111,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-19.scen:
0.156,64,127,35975,119195,3268,3268,3251,3265,88,11,29,21,2,0,0,55,135,0.046,0.007,0.001,0.005,0.009,0,0.007,0,0.005,0.068,0.069,0.12,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-20.scen:
0.391,176,351,81246,250040,3701,3701,3675,3697,170,85,49,20,21,0,0,101,240,0.103,0.012,0.011,0.006,0.045,0,0.022,0.001,0.007,0.17,0.181,0.106,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-21.scen:
4.94,2722,5324,1267007,3653879,3453,3453,3426,3446,2941,1502,477,269,473,0,0,466,4834,0.739,0.182,0.139,0.22,0.644,0,0.127,0.02,0.198,2.699,2.871,0.129,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-22.scen:
0.418,208,415,101784,317028,3785,3785,3766,3778,243,93,21,2,91,0,0,140,233,0.118,0.012,0.01,0.008,0.005,0,0.036,0.002,0.019,0.207,0.218,0.122,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-23.scen:
0.108,13,25,16053,44605,3575,3575,3545,3570,20,1,2,4,5,0,0,44,3,0.055,0,0,0.001,0.002,0,0.009,0,0.001,0.027,0.027,0.12,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-24.scen:
0.573,157,315,169269,434614,3697,3697,3675,3689,326,17,27,30,83,0,0,102,108,0.15,0.006,0.017,0.003,0.02,0,0.032,0.003,0.017,0.324,0.344,0.102,WDG+GR+GC+T+BP with AStar,instances/random-64-64-20/random-64-64-20-random-80-agents-25.scen:
