runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.002,2,5,320,1090,206,206,202,206,0,2,0,2,0,0,0,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-1.scen
0.002,3,5,405,1401,264,260,260,260,1,0,2,0,0,0,0,0,0,2,1,0,2,0,0,1,0.001,0,0,0,0,0,0,0,0.001,0.001,0.001,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-2.scen
0.001,1,1,271,953,204,204,204,204,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-3.scen
0.002,2,3,330,1185,244,244,244,244,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.001,0,0,0,0,0.005,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-4.scen
0,0,1,252,896,226,226,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-5.scen
0.001,0,1,284,1044,261,261,261,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-6.scen
0.002,2,3,370,1200,203,201,201,201,2,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-7.scen
0.001,3,5,306,1067,196,194,194,194,2,0,2,0,0,0,0,0,0,2,1,0,3,0,0,1,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-8.scen
0.001,1,1,265,932,198,198,198,198,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-9.scen
0.001,1,1,260,944,217,217,217,217,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-10.scen
0,0,1,265,911,219,219,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-11.scen
0.002,2,3,411,1325,240,240,238,240,1,1,0,1,0,0,0,0,0,1,1,0,2,0,2,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-12.scen
0,0,1,286,1037,254,254,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-13.scen
0.002,1,1,341,1201,207,207,207,207,5,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-14.scen
0.002,2,3,413,1325,234,234,232,234,2,1,0,1,0,0,0,0,0,1,1,0,4,0,2,-1,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-15.scen
0.001,1,1,294,1058,250,250,250,250,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-16.scen
0.001,1,1,321,1130,260,260,260,260,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-17.scen
0.002,2,3,321,1098,228,226,224,226,1,1,0,1,0,0,0,0,0,1,1,0,5,4,2,-3,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-18.scen
