runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.004,1,3,253,1131,204,203,202,203,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.001,0,0,0,0,0.009,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-1.scen
0.001,0,1,294,1292,260,260,260,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-2.scen
0.001,1,1,269,1172,204,204,204,204,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-3.scen
0.001,1,1,331,1484,244,244,244,244,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-4.scen
0,0,1,247,1103,226,226,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-5.scen
0,0,1,289,1300,261,261,261,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-6.scen
0.001,1,1,326,1325,202,201,201,201,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-7.scen
0.001,2,3,291,1238,194,194,194,194,2,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-8.scen
0.001,1,1,251,1086,198,198,198,198,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-9.scen
0.003,2,3,311,1391,218,217,217,217,2,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0.002,0,0,0,0,0.005,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-10.scen
0.001,0,1,270,1167,219,219,219,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-11.scen
0.002,1,1,345,1429,240,239,238,239,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-12.scen
0.001,0,1,284,1286,254,254,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-13.scen
