runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.004,2,5,335,1126,206,206,202,206,0,2,0,2,0,0,0,0,0,2,1,0,2,0,2,0,0.002,0,0,0,0,0,0,0,0,0.001,0.001,0.008,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-1.scen
0.003,3,5,426,1480,264,260,260,260,2,0,2,0,0,0,0,0,0,2,1,0,3,0,0,1,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-2.scen
0.002,1,1,312,1096,204,204,204,204,3,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-3.scen
0.003,1,1,313,1131,244,244,244,244,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.005,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-4.scen
0.001,1,1,274,974,226,226,226,226,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-5.scen
0.001,1,1,329,1199,261,261,261,261,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-6.scen
0.001,1,1,282,951,203,201,201,201,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-7.scen
0.002,3,5,358,1243,194,194,194,194,4,0,2,0,0,0,0,0,0,2,1,0,4,0,0,1,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-8.scen
0.002,1,1,288,1008,198,198,198,198,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-9.scen
0.002,2,3,387,1294,223,217,217,217,4,0,0,0,0,1,0,0,0,1,1,0,5,0,0,1,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-10.scen
0.002,1,1,322,1086,219,219,219,219,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-11.scen
0.006,2,5,482,1487,242,240,238,240,0,1,0,1,0,1,0,0,0,2,1,0,2,0,2,0,0.003,0,0,0,0,0,0.002,0,0,0,0,0.009,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-12.scen
