runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0,1,3,254,1133,204,203,202,203,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-1.scen
0.001,1,1,317,1401,260,260,260,260,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-2.scen
0.002,1,1,290,1264,204,204,204,204,3,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-3.scen
0.003,2,3,408,1821,245,244,244,244,4,0,1,0,0,0,0,0,0,1,1,0,4,0,0,1,0.001,0,0,0,0,0,0,0,0,0,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-4.scen
0.002,1,1,291,1297,226,226,226,226,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-5.scen
0.001,1,1,309,1396,261,261,261,261,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-6.scen
0.002,1,1,331,1383,202,201,201,201,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-7.scen
0.002,2,3,318,1366,195,194,194,194,4,0,1,0,0,0,0,0,0,1,1,0,4,0,0,1,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-8.scen
0.002,1,1,298,1287,198,198,198,198,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-9.scen
0.004,2,5,379,1666,219,217,217,217,3,0,2,0,0,0,0,0,0,2,1,0,4,0,0,2,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.007,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-10.scen
0.002,1,1,327,1408,219,219,219,219,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0.001,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-11.scen
0.002,1,1,416,1664,240,239,238,239,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-12.scen
0.002,1,1,313,1407,254,254,254,254,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-13.scen
0.007,1,1,360,1578,207,207,207,207,5,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0.003,0,0,0,0,0,0.002,0,0,0.001,0.001,0.008,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-14.scen
0.001,1,1,309,1334,233,232,232,232,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-15.scen
0.001,1,1,308,1358,250,250,250,250,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-16.scen
0.002,2,3,428,1765,263,260,260,260,1,0,0,0,0,1,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-17.scen
0.003,2,3,543,2156,229,225,224,225,6,0,0,0,0,1,0,0,0,1,1,0,7,5,0,1,0.001,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-18.scen
0.004,1,1,324,1415,252,251,251,251,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.007,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-19.scen
0.002,1,1,446,1864,251,247,247,247,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-20.scen
0.003,1,3,303,1298,241,241,240,241,0,1,0,1,0,0,0,0,0,1,1,0,2,0,1,-1,0.001,0,0,0,0,0,0,0,0,0,0,0.008,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-21.scen
0.002,1,1,275,1218,222,222,222,222,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-22.scen
0.002,2,3,475,1829,211,209,209,209,3,0,0,0,0,1,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-23.scen
0.003,2,3,470,1840,216,210,210,210,4,0,0,0,0,1,0,0,0,1,1,0,5,0,0,1,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-24.scen
0.008,3,5,498,2020,233,230,228,230,5,1,0,1,0,1,0,0,0,2,1,0,7,0,0,1,0.003,0,0,0,0,0,0.002,0,0,0.001,0.001,0.007,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-25.scen
0.003,1,1,357,1554,228,227,227,227,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-26.scen
0.002,1,1,315,1374,218,217,217,217,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-27.scen
0.001,1,1,317,1387,239,239,239,239,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-28.scen
0.001,1,1,273,1225,216,216,216,216,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-29.scen
0.003,1,1,331,1426,236,235,234,235,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-30.scen
0.004,1,1,261,1138,201,200,200,200,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0.001,0.009,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-31.scen
0.001,1,1,282,1226,227,227,227,227,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-32.scen
0.002,1,1,311,1335,218,217,217,217,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-33.scen
0.001,1,1,283,1248,231,231,231,231,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-34.scen
0,0,1,257,1139,226,226,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-35.scen
0.005,2,3,646,2294,246,237,237,237,2,0,0,0,0,1,0,0,0,1,1,0,4,0,1,1,0.001,0,0.001,0,0,0,0.001,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-36.scen
0.001,1,1,288,1235,225,225,224,225,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-37.scen
0.001,1,1,308,1326,245,243,243,243,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-38.scen
0.003,1,1,346,1526,231,230,230,230,3,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-39.scen
0.002,1,1,350,1556,258,257,257,257,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-40.scen
0.003,1,1,387,1561,216,214,214,214,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.001,0,0,0,0,0,0,0,0,0.001,0.001,0.004,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-20-agents-41.scen
